"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"RF 5",0.966042027597668,0.96606864274571,0.932059072922555,0.964487489911219,0.967547169811321,0.965266558966074,0.964487489911219,0.964876867178038,0.83147153498927,0.828360828360828,0.649368672282663,0.753328112764291,0.889312977099237,0.846830985915493,0.753328112764291,0.797347699958558
"RF 5",0.961842207099297,0.961778471138846,0.923454805886198,0.957223567393059,0.966037735849057,0.963444354183591,0.957223567393059,0.960323886639676,0.793276575189445,0.794664794664795,0.583132924286275,0.748629600626468,0.83206106870229,0.783606557377049,0.748629600626468,0.765718862635162
"RF 10",0.966155336965663,0.967628705148206,0.93516920857278,0.962873284907183,0.972075471698113,0.969918699186992,0.962873284907183,0.966383151073309,0.818239944741583,0.812214812214812,0.615471360819889,0.722787783868442,0.884860050890585,0.836050724637681,0.722787783868442,0.775304493910122
"RF 10",0.973298946444249,0.974648985959438,0.949223577126785,0.968523002421308,0.980377358490566,0.978792822185971,0.968523002421308,0.973630831643002,0.828190584146151,0.832923832923833,0.661280452623812,0.798747063429914,0.860687022900763,0.823244552058111,0.798747063429914,0.810810810810811
"RF 10",0.965238524510282,0.966848673946958,0.933610499496154,0.962873284907183,0.970566037735849,0.968344155844156,0.962873284907183,0.965600971266694,0.852106754912596,0.852930852930853,0.702389621877347,0.830853563038371,0.870865139949109,0.839398734177215,0.830853563038371,0.835104289649744
"RF 10",0.97068378317145,0.970748829953198,0.94143637121118,0.970944309927361,0.970566037735849,0.968599033816425,0.970944309927361,0.969770253929867,0.818064651360153,0.81958581958582,0.632071029763738,0.752545027407987,0.874045801526718,0.82916307161346,0.752545027407987,0.788998357963875
"RF 10",0.967480862502191,0.968408736349454,0.93677446380493,0.974172719935432,0.963018867924528,0.960987261146497,0.974172719935432,0.967535070140281,0.83822673381383,0.838539838539838,0.670773850017133,0.774471417384495,0.89058524173028,0.851851851851852,0.774471417384495,0.811320754716981
"RF 10",0.970325429820153,0.969578783151326,0.939089040157157,0.968523002421308,0.970566037735849,0.968523002421308,0.968523002421308,0.968523002421308,0.835043201612465,0.837135837135837,0.672761226912707,0.851213782302271,0.825699745547074,0.798677443056576,0.851213782302271,0.824109173616376
"RF 10",0.966470787143236,0.964508580343214,0.928935352137385,0.962873284907183,0.966037735849057,0.963651050080775,0.962873284907183,0.963262010496568,0.814758765658785,0.815724815724816,0.626164358465322,0.776037588097103,0.847964376590331,0.805691056910569,0.776037588097103,0.790586358197048
"RF 10",0.964330203537346,0.963728549141966,0.927343041566318,0.955609362389023,0.971320754716981,0.968903436988543,0.955609362389023,0.962210483543275,0.833723549984696,0.831168831168831,0.657495345565372,0.793265465935787,0.861959287531807,0.823577235772358,0.793265465935787,0.808137215795772
"RF 10",0.965238524510282,0.967238689547582,0.934410453592813,0.96771589991929,0.966792452830189,0.964601769911504,0.96771589991929,0.966156325543916,0.853060177595836,0.851877851877852,0.698551627269304,0.799530148786218,0.89440203562341,0.860151642796967,0.799530148786218,0.828733766233766
"RF 10",0.965709317224968,0.964508580343214,0.928886922025658,0.952380952380952,0.975849056603774,0.973597359735974,0.952380952380952,0.962872297021624,0.857390585571146,0.851877851877852,0.69747756643009,0.780736100234926,0.909669211195929,0.875329236172081,0.780736100234926,0.825331125827815
"RF 50",0.967098338510839,0.967238689547582,0.934427627008111,0.971751412429379,0.963018867924528,0.960893854748603,0.971751412429379,0.966292134831461,0.836074330816957,0.835731835731836,0.664750040732911,0.766640563821457,0.891857506361323,0.852045256744996,0.766640563821457,0.807089859851607
"RF 50",0.974552254619943,0.974648985959438,0.949250171744289,0.976594027441485,0.972830188679245,0.971107544141252,0.976594027441485,0.973843058350101,0.859978203398316,0.857142857142857,0.708900583758836,0.798747063429914,0.904580152671756,0.871794871794872,0.798747063429914,0.8336738863915
