"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"Logistic regression",0.834330308030803,0.834179357021997,0.668315981170326,0.82312925170068,0.845117845117845,0.840277777777778,0.82312925170068,0.831615120274914,0.798494983277592,0.633738601823708,0.21269201362341,0.199335548172757,1,1,0.199335548172757,0.332409972299169
"Logistic regression",0.815641178357081,0.815566835871404,0.631155847948194,0.82312925170068,0.808080808080808,0.809364548494983,0.82312925170068,0.816188870151771,0.61164974308784,0.594224924012158,0.142535018790571,0.259136212624585,0.876750700280112,0.639344262295082,0.259136212624585,0.368794326241135
"Logistic regression",0.832975769813226,0.83248730964467,0.664902664902665,0.812925170068027,0.851851851851852,0.84452296819788,0.812925170068027,0.82842287694974,0.523520092775713,0.534954407294833,0.0431774333045041,0.358803986710963,0.683473389355742,0.48868778280543,0.358803986710963,0.413793103448276
"Logistic regression",0.820657900765107,0.820642978003384,0.641264387562275,0.816326530612245,0.824915824915825,0.821917808219178,0.816326530612245,0.819112627986348,0.793721746596964,0.641337386018237,0.230523759972251,0.219269102990033,0.997198879551821,0.985074626865672,0.219269102990033,0.358695652173913
"Logistic regression",0.849404489234998,0.849407783417936,0.698812979918575,0.850340136054422,0.848484848484849,0.847457627118644,0.850340136054422,0.848896434634975,0.794069192751236,0.620060790273556,0.181241725315309,0.169435215946844,1,1,0.169435215946844,0.289772727272727
"Logistic regression",0.820756013745705,0.820642978003384,0.641313683053351,0.829931972789116,0.811447811447811,0.813333333333333,0.829931972789116,0.821548821548822,0.793585526315789,0.618541033434651,0.177737506098836,0.166112956810631,1,1,0.166112956810631,0.284900284900285
"Random forest",0.956117539237026,0.956006768189509,0.912005222649808,0.948979591836735,0.962962962962963,0.962068965517241,0.948979591836735,0.955479452054795,0.853374256232583,0.85258358662614,0.701694693450239,0.81063122923588,0.887955182072829,0.859154929577465,0.81063122923588,0.834188034188034
"Random forest",0.958411729613143,0.957698815566836,0.915379460834006,0.938775510204082,0.976430976430976,0.975265017667845,0.938775510204082,0.956672443674177,0.840472418262999,0.835866261398176,0.666206352337739,0.760797342192691,0.899159663865546,0.864150943396226,0.760797342192691,0.809187279151944
"Random forest",0.947611683848797,0.947546531302876,0.895084952498755,0.942176870748299,0.952861952861953,0.951890034364261,0.942176870748299,0.947008547008547,0.863817504655493,0.864741641337386,0.727438587346061,0.850498338870432,0.876750700280112,0.853333333333333,0.850498338870432,0.851913477537438
"Random forest",0.945409429280397,0.944162436548223,0.888293210990257,0.918367346938776,0.96969696969697,0.967741935483871,0.918367346938776,0.942408376963351,0.825907425907426,0.82370820668693,0.642233742371547,0.760797342192691,0.876750700280112,0.838827838827839,0.760797342192691,0.797909407665505
"Random forest",0.956396881806718,0.956006768189509,0.911999175314412,0.942176870748299,0.96969696969697,0.968531468531469,0.942176870748299,0.955172413793103,0.849626638220055,0.844984802431611,0.68541242863705,0.784053156146179,0.896358543417367,0.864468864468865,0.784053156146179,0.822299651567944
