"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"Logistic regression",0.829036939675238,0.829173166926677,0.658230090111475,0.835351089588378,0.823396226415094,0.815602836879433,0.835351089588378,0.825358851674641,0.691377257982918,0.631800631800632,0.205223355671072,0.251370399373532,0.940839694656489,0.77536231884058,0.251370399373532,0.379657007687759
"Logistic regression",0.82388599875302,0.824102964118565,0.647892710506668,0.821630347054076,0.826415094339623,0.815705128205128,0.821630347054076,0.818657016485726,0.565539261350124,0.573885573885574,0.127378481657137,0.456538762725137,0.669211195928753,0.528558476881233,0.456538762725137,0.489915966386555
"Logistic regression",0.831443443860923,0.831513260530421,0.662505553060445,0.819209039548023,0.843018867924528,0.829926410466067,0.819209039548023,0.824532900081235,0.646257418943444,0.634959634959635,0.229511035849674,0.368050117462803,0.851781170483461,0.668563300142248,0.368050117462803,0.474747474747475
"Logistic regression",0.839609691850091,0.839313572542902,0.677944636749935,0.818401937046005,0.858867924528302,0.844296419650291,0.818401937046005,0.831147540983607,0.54960086024641,0.561249561249561,0.0916309398217772,0.385277995301488,0.704198473282443,0.5141065830721,0.385277995301488,0.440465532676813
"Logistic regression",0.822715054172616,0.822932917316693,0.64555981499356,0.820823244552058,0.824905660377358,0.814251401120897,0.820823244552058,0.817524115755627,0.688177438779607,0.644787644787645,0.239402451481103,0.3061863743148,0.919847328244275,0.756286266924565,0.3061863743148,0.435897435897436
"Logistic regression",0.820398915868971,0.820592823712949,0.640762700042459,0.813559322033898,0.827169811320755,0.814874696847211,0.813559322033898,0.81421647819063,0.570774706063597,0.58020358020358,0.129562549111171,0.398590446358653,0.727735368956743,0.543223052294557,0.398590446358653,0.459801264679313
"Logistic regression",0.826285295035295,0.826443057722309,0.652431438538688,0.817594834543987,0.834716981132075,0.82224025974026,0.817594834543987,0.819910967219749,0.561072333567224,0.568620568620569,0.120198010796066,0.472200469851214,0.646946564885496,0.520725388601036,0.472200469851214,0.495277207392197
"Random forest",0.963634034844821,0.963338533541342,0.926556010275381,0.953995157384988,0.972075471698113,0.969647251845775,0.953995157384988,0.961757526444264,0.856141305894743,0.854334854334854,0.703310562639316,0.79796397807361,0.900127226463104,0.866496598639456,0.79796397807361,0.830819404810436
"Random forest",0.969087727160906,0.969188767550702,0.938319439504597,0.970944309927361,0.967547169811321,0.965489566613162,0.970944309927361,0.968209255533199,0.856358102496656,0.855036855036855,0.704958798087182,0.802662490211433,0.897582697201018,0.86424957841484,0.802662490211433,0.832318311002842
"Random forest",0.966635472710369,0.966458658346334,0.932817126355744,0.959644874899112,0.972830188679245,0.970612244897959,0.959644874899112,0.965097402597403,0.856670539346734,0.855387855387855,0.705694953637329,0.803445575567737,0.897582697201018,0.864363942712721,0.803445575567737,0.832792207792208
"Random forest",0.966761668128228,0.966848673946958,0.933631363855069,0.96771589991929,0.966037735849057,0.963826366559486,0.96771589991929,0.965767217076118,0.851078200741374,0.849069849069849,0.692427469754167,0.789350039154268,0.897582697201018,0.862275449101796,0.789350039154268,0.82420278004906
